PHOENIX, AZ, USA
month,day,hour,Dry Bulb Temp,Rel Humidity,Global Horiz Rad,Diffuse Rad,Wind Speed,Wind Direction,
 , , ,degrees C,percent,(Wh/sq.m),(Wh/sq.m),ms,degrees,
1,1,1,5.6,53.0,0.0,0.0,2.1,200.0,
1,1,2,5.6,49.0,0.0,0.0,2.6,240.0,
1,1,3,5.0,47.0,0.0,0.0,2.1,220.0,
1,1,4,6.1,40.0,0.0,0.0,2.1,270.0,
1,1,5,6.1,38.0,0.0,0.0,2.1,250.0,
1,1,6,6.1,43.0,0.0,0.0,2.1,220.0,
1,1,7,6.1,42.0,0.0,0.0,2.1,250.0,
1,1,8,6.1,37.0,8.0,8.0,0.0,0.0,
1,1,9,6.7,38.0,62.0,47.0,1.5,220.0,
1,1,10,9.4,33.0,297.0,29.0,2.1,270.0,
1,1,11,12.2,25.0,457.0,53.0,0.0,0.0,
1,1,12,13.9,21.0,564.0,72.0,1.5,100.0,
1,1,13,16.1,16.0,608.0,79.0,3.6,50.0,
1,1,14,16.7,17.0,542.0,170.0,3.6,50.0,
1,1,15,17.2,18.0,324.0,261.0,2.1,30.0,
1,1,16,17.2,18.0,174.0,179.0,1.5,60.0,
1,1,17,16.7,20.0,74.0,70.0,2.1,40.0,
1,1,18,14.4,26.0,7.0,7.0,0.0,0.0,
1,1,19,12.2,33.0,0.0,0.0,1.5,290.0,
1,1,20,11.1,38.0,0.0,0.0,1.5,200.0,
1,1,21,10.6,36.0,0.0,0.0,0.0,0.0,
1,1,22,8.9,41.0,0.0,0.0,0.0,0.0,
1,1,23,8.3,34.0,0.0,0.0,2.6,250.0,
1,1,24,6.7,40.0,0.0,0.0,2.6,220.0,
1,2,1,6.1,37.0,0.0,0.0,2.1,250.0,
1,2,2,5.6,38.0,0.0,0.0,2.1,250.0,
1,2,3,5.0,38.0,0.0,0.0,3.1,240.0,
1,2,4,5.6,36.0,0.0,0.0,2.6,260.0,
1,2,5,5.0,40.0,0.0,0.0,2.1,290.0,
1,2,6,3.9,45.0,0.0,0.0,0.0,0.0,
1,2,7,4.4,41.0,0.0,0.0,0.0,0.0,
1,2,8,4.4,43.0,14.0,8.0,0.0,0.0,
1,2,9,7.8,36.0,128.0,36.0,0.0,0.0,
1,2,10,10.6,31.0,264.0,54.0,0.0,0.0,
1,2,11,12.2,30.0,395.0,120.0,0.0,0.0,
1,2,12,14.4,28.0,556.0,97.0,2.6,90.0,
1,2,13,15.6,26.0,569.0,188.0,0.0,0.0,
1,2,14,16.1,26.0,480.0,274.0,0.0,0.0,
1,2,15,17.2,26.0,474.0,202.0,1.5,10.0,
1,2,16,16.7,27.0,223.0,160.0,2.6,280.0,
1,2,17,15.6,30.0,93.0,89.0,4.1,290.0,
1,2,18,13.9,34.0,6.0,6.0,0.0,0.0,
1,2,19,12.2,38.0,0.0,0.0,3.1,260.0,
1,2,20,10.6,45.0,0.0,0.0,0.0,0.0,
1,2,21,10.0,46.0,0.0,0.0,0.0,0.0,
1,2,22,9.4,46.0,0.0,0.0,0.0,0.0,
1,2,23,8.9,50.0,0.0,0.0,0.0,0.0,
1,2,24,8.3,46.0,0.0,0.0,1.5,220.0,
1,3,1,7.8,46.0,0.0,0.0,2.1,270.0,
1,3,2,6.7,51.0,0.0,0.0,1.5,230.0,
1,3,3,6.7,47.0,0.0,0.0,2.6,120.0,
1,3,4,6.1,47.0,0.0,0.0,0.0,0.0,
1,3,5,5.6,58.0,0.0,0.0,0.0,0.0,
1,3,6,5.0,68.0,0.0,0.0,1.5,110.0,
1,3,7,5.0,68.0,0.0,0.0,2.1,90.0,
1,3,8,5.0,68.0,10.0,4.0,0.0,0.0,
1,3,9,6.1,65.0,131.0,41.0,2.6,60.0,
1,3,10,8.9,52.0,284.0,46.0,4.1,90.0,
1,3,11,11.1,45.0,444.0,92.0,3.1,70.0,
1,3,12,12.8,39.0,527.0,128.0,2.1,80.0,
1,3,13,15.0,33.0,559.0,133.0,0.0,0.0,
1,3,14,15.6,32.0,452.0,193.0,0.0,0.0,
1,3,15,15.6,32.0,220.0,217.0,0.0,0.0,
1,3,16,15.6,32.0,108.0,113.0,1.5,310.0,
1,3,17,15.0,36.0,36.0,38.0,2.1,240.0,
1,3,18,14.4,39.0,3.0,3.0,2.1,230.0,
1,3,19,13.3,44.0,0.0,0.0,0.0,0.0,
1,3,20,13.3,44.0,0.0,0.0,3.1,300.0,
1,3,21,12.2,47.0,0.0,0.0,1.5,330.0,
1,3,22,11.1,53.0,0.0,0.0,0.0,0.0,
1,3,23,11.1,51.0,0.0,0.0,0.0,0.0,
1,3,24,10.0,54.0,0.0,0.0,2.1,280.0,
1,4,1,10.0,59.0,0.0,0.0,1.5,340.0,
1,4,2,10.0,59.0,0.0,0.0,0.0,0.0,
1,4,3,10.0,59.0,0.0,0.0,0.0,0.0,
1,4,4,10.6,57.0,0.0,0.0,3.1,140.0,
1,4,5,10.6,57.0,0.0,0.0,3.1,80.0,
1,4,6,10.0,57.0,0.0,0.0,4.1,80.0,
1,4,7,10.0,61.0,0.0,0.0,3.1,120.0,
1,4,8,9.4,66.0,9.0,8.0,0.0,0.0,
1,4,9,10.0,64.0,59.0,59.0,0.0,0.0,
1,4,10,10.0,64.0,141.0,133.0,0.0,0.0,
1,4,11,13.3,47.0,120.0,118.0,3.6,100.0,
1,4,12,15.0,42.0,337.0,305.0,1.5,100.0,
1,4,13,17.2,34.0,461.0,233.0,1.5,80.0,
1,4,14,18.3,32.0,464.0,245.0,1.5,20.0,
1,4,15,18.9,29.0,249.0,218.0,0.0,0.0,
1,4,16,19.4,28.0,188.0,173.0,0.0,0.0,
1,4,17,18.9,31.0,85.0,85.0,0.0,0.0,
1,4,18,17.8,33.0,5.0,5.0,0.0,0.0,
1,4,19,16.1,43.0,0.0,0.0,2.1,250.0,
1,4,20,15.0,46.0,0.0,0.0,0.0,0.0,
1,4,21,14.4,51.0,0.0,0.0,1.5,160.0,
1,4,22,13.9,51.0,0.0,0.0,0.0,0.0,
1,4,23,12.8,55.0,0.0,0.0,0.0,0.0,
1,4,24,12.8,55.0,0.0,0.0,2.1,100.0,
1,5,1,12.2,57.0,0.0,0.0,1.5,70.0,
1,5,2,11.7,62.0,0.0,0.0,2.6,90.0,
1,5,3,11.1,66.0,0.0,0.0,1.5,70.0,
1,5,4,11.1,66.0,0.0,0.0,1.5,30.0,
1,5,5,11.1,66.0,0.0,0.0,4.1,110.0,
1,5,6,11.1,66.0,0.0,0.0,3.1,100.0,
1,5,7,11.7,62.0,0.0,0.0,4.6,100.0,
1,5,8,10.6,72.0,3.0,3.0,2.1,180.0,
1,5,9,11.1,69.0,18.0,18.0,2.6,310.0,
1,5,10,11.1,77.0,32.0,32.0,3.1,160.0,
1,5,11,11.7,74.0,71.0,71.0,2.6,130.0,
1,5,12,12.8,67.0,76.0,76.0,2.6,130.0,
1,5,13,13.9,62.0,189.0,189.0,0.0,0.0,
1,5,14,14.4,67.0,200.0,200.0,3.1,120.0,
1,5,15,13.9,64.0,143.0,143.0,3.6,100.0,
1,5,16,13.9,64.0,79.0,79.0,1.5,120.0,
1,5,17,13.9,64.0,23.0,23.0,1.5,80.0,
1,5,18,13.9,67.0,5.0,5.0,1.5,10.0,
1,5,19,13.3,67.0,0.0,0.0,1.5,60.0,
1,5,20,12.8,72.0,0.0,0.0,2.1,80.0,
1,5,21,13.3,67.0,0.0,0.0,2.1,110.0,
1,5,22,13.3,69.0,0.0,0.0,3.1,100.0,
1,5,23,12.2,77.0,0.0,0.0,1.5,330.0,
1,5,24,11.1,86.0,0.0,0.0,3.1,340.0,
1,6,1,10.6,93.0,0.0,0.0,0.0,0.0,
1,6,2,10.6,93.0,0.0,0.0,0.0,0.0,
